PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,PG.Min.Pct,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SG.Min.Pct,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,SF.Min.Pct,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,PF.Min.Pct,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr,C.Min.Pct,Team,Year
3,Tevin,Foster,5-11,180, Sr,0.81,5,Payten,Ricks,6-2,190, So,0.5,0,Jaylen,Franklin,6-2,205, Jr,0.48,1,Jaren,Lewis,6-6,215, Jr,0.82,21,Jalone,Friday,6-9,235, So,0.64,Abilene Christian,2018
0,Jaylen,Franklin,6-2,205, Jr,0.18,11,Drake,Green,6-3,195, Sr,0.28,2,BJ,Maxwell,6-4,190, So,0.31,15,Hayden,Farquhar,6-7,215, Jr,0.07,23,Hayden,Howell,6-7,225, Jr,0.2,Abilene Christian,2018
NA,NA,NA,NA,NA,,NA,10,Isaiah,Tripp,6-1,190, Sr,0.1,11,Drake,Green,6-3,195, Sr,0.18,14,Trey,Lenox,6-3,220, So,0.07,34,Kolton,Kohl,7-0,225, Fr,0.08,Abilene Christian,2018
NA,NA,NA,NA,NA,,NA,0,Jaylen,Franklin,6-2,205, Jr,0.09,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,15,Hayden,Farquhar,6-7,215, Jr,0.07,Abilene Christian,2018
15,Jacob,Van,6-1,175, Sr,0.4,20,Trevor,Lyons,6-3,190, Sr,0.58,0,Caleb,Morris,6-4,185, So,0.53,12,Lavelle,Scottie,6-6,200, So,0.51,34,Ryan,Swan,6-7,225, So,0.55,Air Force,2018
2,CJ,Siples,6-3,175, Sr,0.38,3,Sid,Tomes,6-4,200, So,0.23,12,Lavelle,Scottie,6-6,200, So,0.25,32,Ryan,Manning,6-6,200, Sr,0.27,33,Frank,Toohey,6-7,220, Sr,0.3,Air Force,2018
20,Trevor,Lyons,6-3,190, Sr,0.2,0,Caleb,Morris,6-4,185, So,0.09,3,Sid,Tomes,6-4,200, So,0.11,44,Keaton,Van,6-7,190, Fr,0.2,30,Jonathan,DeWane,6-8,205, So,0.07,Air Force,2018
NA,NA,NA,NA,NA,,NA,15,Jacob,Van,6-1,175, Sr,0.05,20,Trevor,Lyons,6-3,190, Sr,0.06,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Air Force,2018
11,Virshon,Cotton,6-1,165, Fr,0.49,4,Malcolm,Duvivier,6-2,210, Sr,0.33,0,Jimond,Ivey,6-5,200, Jr,0.49,20,Eric,Parrish,6-6,195, Fr,0.51,3,Daniel,Utomi,6-6,215, So,0.56,Akron,2018
4,Malcolm,Duvivier,6-2,210, Sr,0.48,0,Jimond,Ivey,6-5,200, Jr,0.32,20,Eric,Parrish,6-6,195, Fr,0.22,3,Daniel,Utomi,6-6,215, So,0.37,44,Mark,Kostelac,6-11,250, Fr,0.43,Akron,2018
NA,NA,NA,NA,NA,,NA,24,Torrey,Patton,6-4,195, Fr,0.31,25,Lucas,Smith,6-5,195, Jr,0.16,25,Lucas,Smith,6-5,195, Jr,0.07,NA,NA,NA,NA,NA,,NA,Akron,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,24,Torrey,Patton,6-4,195, Fr,0.13,0,Jimond,Ivey,6-5,200, Jr,0.05,NA,NA,NA,NA,NA,,NA,Akron,2018
2,Collin,Sexton,6-3,190, Fr,0.83,23,John,Petty,6-5,195, Fr,0.59,12,Dazon,Ingram,6-5,207, So,0.48,25,Braxton,Key,6-8,225, So,0.48,0,Donta,Hall,6-9,232, Jr,0.43,Alabama,2018
5,Avery,Johnson,5-11,187, Jr,0.12,12,Dazon,Ingram,6-5,207, So,0.24,10,Herbert,Jones,6-7,200, Fr,0.37,30,Galin,Smith,6-9,235, Fr,0.27,30,Galin,Smith,6-9,235, Fr,0.2,Alabama,2018
24,Lawson,Schaffer,5-11,168, Jr,0.05,5,Avery,Johnson,5-11,187, Jr,0.14,25,Braxton,Key,6-8,225, So,0.07,10,Herbert,Jones,6-7,200, Fr,0.1,3,Alex,Reese,6-9,250, Fr,0.19,Alabama,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,23,John,Petty,6-5,195, Fr,0.07,3,Alex,Reese,6-9,250, Fr,0.08,4,Daniel,Giddens,6-11,247, So,0.18,Alabama,2018
41,Julian,Walters,5-10,175, Sr,0.8,3,De,Ederick,6-0,175, So,0.33,10,Arthur,Johnson,6-2,195, Jr,0.52,24,Evan,Wiley,6-7,200, So,0.52,35,Tracey,Burnett,6-4,275, So,0.46,Alabama A&M,2018
3,De,Ederick,6-0,175, So,0.2,4,Marcus,Merriweather,6-2,180, Sr,0.27,22,Jalen,Reeder,6-5,185, Jr,0.4,11,Andre,Kennedy,6-7,205, Jr,0.27,11,Andre,Kennedy,6-7,205, Jr,0.33,Alabama A&M,2018
NA,NA,NA,NA,NA,,NA,10,Arthur,Johnson,6-2,195, Jr,0.22,4,Marcus,Merriweather,6-2,180, Sr,0.05,22,Jalen,Reeder,6-5,185, Jr,0.17,30,Brandon,Houston,6-7,260, Fr,0.17,Alabama A&M,2018
NA,NA,NA,NA,NA,,NA,2,Ariston,Johnson,6-0,190, So,0.19,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Alabama A&M,2018
3,Gene,Davis,6-1,180, Jr,0.51,12,Reginald,Gee,6-3,175, So,0.54,5,Tobi,Ewuosho,6-5,175, So,0.38,1,Rodney,Simeon,6-5,215, Sr,0.31,24,Branden,Johnson,6-8,205, Fr,0.44,Alabama St.,2018
10,Jacoby,Ross,5-9,165, Fr,0.3,30,Terrance,LeFlore,6-1,165, Sr,0.35,12,Reginald,Gee,6-3,175, So,0.3,24,Branden,Johnson,6-8,205, Fr,0.23,15,Fausto,Pichardo,6-8,215, Jr,0.28,Alabama St.,2018
30,Terrance,LeFlore,6-1,165, Sr,0.19,52,Steve,Rogers,6-0,160, Sr,0.07,1,Rodney,Simeon,6-5,215, Sr,0.19,14,Ed,Jones,6-8,205, Jr,0.2,14,Ed,Jones,6-8,205, Jr,0.23,Alabama St.,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,11,Austin,Rogers,6-4,180, So,0.13,5,Tobi,Ewuosho,6-5,175, So,0.17,21,Marice,Wright,6-11,215, Jr,0.05,Alabama St.,2018
