Year,Team,Min.Pct,PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr
2014,Abilene Christian,0.24600000000000002,3,Parker,Wentz,5-9,160, So,2,Rafael,Farley,6-5,195, Jr,4,Michael,Grant,6-5,195, Fr,0,Riley,Payne,6-5,200, Fr,12,Austin,Cooke,6-7,210, So
2014,Abilene Christian,0.10800000000000001,3,Parker,Wentz,5-9,160, So,5,Julian,Edmonson,6-1,195, Jr,2,Rafael,Farley,6-5,195, Jr,0,Riley,Payne,6-5,200, Fr,12,Austin,Cooke,6-7,210, So
2014,Abilene Christian,0.099,3,Parker,Wentz,5-9,160, So,5,Julian,Edmonson,6-1,195, Jr,2,Rafael,Farley,6-5,195, Jr,12,Austin,Cooke,6-7,210, So,21,James,Pegues,6-6,220, So
2014,Abilene Christian,0.098,3,Parker,Wentz,5-9,160, So,5,Julian,Edmonson,6-1,195, Jr,4,Michael,Grant,6-5,195, Fr,0,Riley,Payne,6-5,200, Fr,12,Austin,Cooke,6-7,210, So
2014,Abilene Christian,0.073,3,Parker,Wentz,5-9,160, So,5,Julian,Edmonson,6-1,195, Jr,2,Rafael,Farley,6-5,195, Jr,12,Austin,Cooke,6-7,210, So,33,Jacob,Lancaster,6-10,235, Jr
2014,Abilene Christian,0.073,3,Parker,Wentz,5-9,160, So,5,Julian,Edmonson,6-1,195, Jr,4,Michael,Grant,6-5,195, Fr,12,Austin,Cooke,6-7,210, So,21,James,Pegues,6-6,220, So
2014,Abilene Christian,0.046,3,Parker,Wentz,5-9,160, So,2,Rafael,Farley,6-5,195, Jr,4,Michael,Grant,6-5,195, Fr,12,Austin,Cooke,6-7,210, So,21,James,Pegues,6-6,220, So
2014,Abilene Christian,0.027999999999999997,3,Parker,Wentz,5-9,160, So,5,Julian,Edmonson,6-1,195, Jr,2,Rafael,Farley,6-5,195, Jr,21,James,Pegues,6-6,220, So,33,Jacob,Lancaster,6-10,235, Jr
2014,Abilene Christian,0.025,3,Parker,Wentz,5-9,160, So,5,Julian,Edmonson,6-1,195, Jr,4,Michael,Grant,6-5,195, Fr,12,Austin,Cooke,6-7,210, So,33,Jacob,Lancaster,6-10,235, Jr
2014,Abilene Christian,0.023,3,Parker,Wentz,5-9,160, So,2,Rafael,Farley,6-5,195, Jr,4,Michael,Grant,6-5,195, Fr,12,Austin,Cooke,6-7,210, So,33,Jacob,Lancaster,6-10,235, Jr
2014,Abilene Christian,0.17800000000000002,NA,UNKNOWN,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
2014,Air Force,0.16,1,Tre,Coggins,6-2,185, So,22,Max,Yon,6-4,198, Jr,4,Kamryn,Williams,6-4,193, Jr,21,DeLovell,Earls,6-6,235, Jr,0,Marek,Olesinski,6-9,220, Jr
2014,Air Force,0.091,1,Tre,Coggins,6-2,185, So,22,Max,Yon,6-4,198, Jr,4,Kamryn,Williams,6-4,193, Jr,45,Darrius,Parker,6-7,215, Fr,21,DeLovell,Earls,6-6,235, Jr
2014,Air Force,0.08800000000000001,1,Tre,Coggins,6-2,185, So,22,Max,Yon,6-4,198, Jr,4,Kamryn,Williams,6-4,193, Jr,21,DeLovell,Earls,6-6,235, Jr,44,Chase,Kammerer,6-7,245, Sr
2014,Air Force,0.087,1,Tre,Coggins,6-2,185, So,5,Zach,Kocur,6-3,195, Fr,22,Max,Yon,6-4,198, Jr,21,DeLovell,Earls,6-6,235, Jr,0,Marek,Olesinski,6-9,220, Jr
2014,Air Force,0.071,4,Kamryn,Williams,6-4,193, Jr,5,Zach,Kocur,6-3,195, Fr,22,Max,Yon,6-4,198, Jr,21,DeLovell,Earls,6-6,235, Jr,44,Chase,Kammerer,6-7,245, Sr
2014,Air Force,0.065,1,Tre,Coggins,6-2,185, So,22,Max,Yon,6-4,198, Jr,4,Kamryn,Williams,6-4,193, Jr,3,Justin,Hammonds,6-6,193, Jr,0,Marek,Olesinski,6-9,220, Jr
2014,Air Force,0.038,1,Tre,Coggins,6-2,185, So,22,Max,Yon,6-4,198, Jr,4,Kamryn,Williams,6-4,193, Jr,3,Justin,Hammonds,6-6,193, Jr,45,Darrius,Parker,6-7,215, Fr
2014,Air Force,0.037000000000000005,1,Tre,Coggins,6-2,185, So,5,Zach,Kocur,6-3,195, Fr,4,Kamryn,Williams,6-4,193, Jr,3,Justin,Hammonds,6-6,193, Jr,45,Darrius,Parker,6-7,215, Fr
2014,Air Force,0.025,1,Tre,Coggins,6-2,185, So,22,Max,Yon,6-4,198, Jr,4,Kamryn,Williams,6-4,193, Jr,3,Justin,Hammonds,6-6,193, Jr,44,Chase,Kammerer,6-7,245, Sr
2014,Air Force,0.023,1,Tre,Coggins,6-2,185, So,5,Zach,Kocur,6-3,195, Fr,4,Kamryn,Williams,6-4,193, Jr,45,Darrius,Parker,6-7,215, Fr,21,DeLovell,Earls,6-6,235, Jr
2014,Air Force,0.126,NA,UNKNOWN,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
2014,Akron,0.23199999999999998,3,Nyles,Evans,5-11,170, Jr,4,Deji,Ibitayo,6-4,205, Jr,13,Quincy,Diggs,6-6,209, Sr,1,Demetrius,Treadwell,6-7,235, Sr,23,Isaiah,Johnson,6-10,285, Fr
2014,Akron,0.054000000000000006,12,Carmelo,Betancourt,5-11,182, So,13,Quincy,Diggs,6-6,209, Sr,21,Reggie,McAdams,6-7,210, So,10,Nick,Harney,6-8,210, Sr,1,Demetrius,Treadwell,6-7,235, Sr
2014,Akron,0.048,12,Carmelo,Betancourt,5-11,182, So,4,Deji,Ibitayo,6-4,205, Jr,21,Reggie,McAdams,6-7,210, So,10,Nick,Harney,6-8,210, Sr,1,Demetrius,Treadwell,6-7,235, Sr
2014,Akron,0.045,12,Carmelo,Betancourt,5-11,182, So,13,Quincy,Diggs,6-6,209, Sr,21,Reggie,McAdams,6-7,210, So,1,Demetrius,Treadwell,6-7,235, Sr,34,Pat,Forsythe,6-11,235, So
2014,Akron,0.033,12,Carmelo,Betancourt,5-11,182, So,4,Deji,Ibitayo,6-4,205, Jr,13,Quincy,Diggs,6-6,209, Sr,10,Nick,Harney,6-8,210, Sr,1,Demetrius,Treadwell,6-7,235, Sr
2014,Akron,0.032,12,Carmelo,Betancourt,5-11,182, So,13,Quincy,Diggs,6-6,209, Sr,10,Nick,Harney,6-8,210, Sr,1,Demetrius,Treadwell,6-7,235, Sr,34,Pat,Forsythe,6-11,235, So
2014,Akron,0.028999999999999998,12,Carmelo,Betancourt,5-11,182, So,4,Deji,Ibitayo,6-4,205, Jr,13,Quincy,Diggs,6-6,209, Sr,1,Demetrius,Treadwell,6-7,235, Sr,34,Pat,Forsythe,6-11,235, So
2014,Akron,0.027999999999999997,12,Carmelo,Betancourt,5-11,182, So,21,Reggie,McAdams,6-7,210, So,10,Nick,Harney,6-8,210, Sr,1,Demetrius,Treadwell,6-7,235, Sr,34,Pat,Forsythe,6-11,235, So
2014,Akron,0.027000000000000003,3,Nyles,Evans,5-11,170, Jr,13,Quincy,Diggs,6-6,209, Sr,10,Nick,Harney,6-8,210, Sr,1,Demetrius,Treadwell,6-7,235, Sr,34,Pat,Forsythe,6-11,235, So
2014,Akron,0.027000000000000003,3,Nyles,Evans,5-11,170, Jr,13,Quincy,Diggs,6-6,209, Sr,21,Reggie,McAdams,6-7,210, So,10,Nick,Harney,6-8,210, Sr,1,Demetrius,Treadwell,6-7,235, Sr
2014,Akron,0.157,NA,UNKNOWN,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
2014,Alabama,0.237,12,Trevor,Releford,6-0,190, Sr,20,Levi,Randolph,6-5,205, Jr,21,Rodney,Cooper,6-6,215, Jr,11,Shannon,Hale,6-8,220, Fr,10,Jimmie,Taylor,6-10,240, Fr
2014,Alabama,0.109,12,Trevor,Releford,6-0,190, Sr,32,Retin,Obasohan,6-1,205, So,20,Levi,Randolph,6-5,205, Jr,21,Rodney,Cooper,6-6,215, Jr,11,Shannon,Hale,6-8,220, Fr
2014,Alabama,0.078,12,Trevor,Releford,6-0,190, Sr,20,Levi,Randolph,6-5,205, Jr,21,Rodney,Cooper,6-6,215, Jr,11,Shannon,Hale,6-8,220, Fr,4,Carl,Engstrom,7-1,265, Jr
2014,Alabama,0.069,12,Trevor,Releford,6-0,190, Sr,32,Retin,Obasohan,6-1,205, So,21,Rodney,Cooper,6-6,215, Jr,11,Shannon,Hale,6-8,220, Fr,10,Jimmie,Taylor,6-10,240, Fr
2014,Alabama,0.068,12,Trevor,Releford,6-0,190, Sr,32,Retin,Obasohan,6-1,205, So,20,Levi,Randolph,6-5,205, Jr,21,Rodney,Cooper,6-6,215, Jr,10,Jimmie,Taylor,6-10,240, Fr
2014,Alabama,0.067,12,Trevor,Releford,6-0,190, Sr,32,Retin,Obasohan,6-1,205, So,20,Levi,Randolph,6-5,205, Jr,11,Shannon,Hale,6-8,220, Fr,4,Carl,Engstrom,7-1,265, Jr
2014,Alabama,0.067,12,Trevor,Releford,6-0,190, Sr,32,Retin,Obasohan,6-1,205, So,20,Levi,Randolph,6-5,205, Jr,21,Rodney,Cooper,6-6,215, Jr,4,Carl,Engstrom,7-1,265, Jr
2014,Alabama,0.054000000000000006,12,Trevor,Releford,6-0,190, Sr,32,Retin,Obasohan,6-1,205, So,20,Levi,Randolph,6-5,205, Jr,11,Shannon,Hale,6-8,220, Fr,10,Jimmie,Taylor,6-10,240, Fr
2014,Alabama,0.036000000000000004,12,Trevor,Releford,6-0,190, Sr,0,Algie,Kay,6-4,195, Jr,20,Levi,Randolph,6-5,205, Jr,21,Rodney,Cooper,6-6,215, Jr,11,Shannon,Hale,6-8,220, Fr
2014,Alabama,0.03,12,Trevor,Releford,6-0,190, Sr,20,Levi,Randolph,6-5,205, Jr,21,Rodney,Cooper,6-6,215, Jr,NA,Slaugh,NA,NA,NA,ter,11,Shannon,Hale,6-8,220, Fr
2014,Alabama,0.005,NA,UNKNOWN,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
2014,Alabama A&M,0.24100000000000002,10,Jeremy,Crutcher,5-8,160, Sr,40,Brandon,Ellis,6-3,200, Sr,11,Arther,Capers,6-5,185, Sr,35,Nicholas,West,6-10,190, So,0,Justan,Banks,7-1,215, Sr
2014,Alabama A&M,0.084,10,Jeremy,Crutcher,5-8,160, Sr,40,Brandon,Ellis,6-3,200, Sr,11,Arther,Capers,6-5,185, Sr,30,Demarquelle,Tabb,6-5,210, Sr,0,Justan,Banks,7-1,215, Sr
2014,Alabama A&M,0.066,10,Jeremy,Crutcher,5-8,160, Sr,40,Brandon,Ellis,6-3,200, Sr,11,Arther,Capers,6-5,185, Sr,20,Jose,Long,6-5,210, Jr,0,Justan,Banks,7-1,215, Sr
2014,Alabama A&M,0.035,10,Jeremy,Crutcher,5-8,160, Sr,12,Green,Hill,5-10,175, Sr,22,Tyler,Davis,6-2,180, So,20,Jose,Long,6-5,210, Jr,0,Justan,Banks,7-1,215, Sr
2014,Alabama A&M,0.032,10,Jeremy,Crutcher,5-8,160, Sr,12,Green,Hill,5-10,175, Sr,11,Arther,Capers,6-5,185, Sr,20,Jose,Long,6-5,210, Jr,30,Demarquelle,Tabb,6-5,210, Sr
2014,Alabama A&M,0.03,10,Jeremy,Crutcher,5-8,160, Sr,40,Brandon,Ellis,6-3,200, Sr,11,Arther,Capers,6-5,185, Sr,30,Demarquelle,Tabb,6-5,210, Sr,35,Nicholas,West,6-10,190, So
2014,Alabama A&M,0.027000000000000003,10,Jeremy,Crutcher,5-8,160, Sr,4,Justin,Colvin,6-3,190, So,11,Arther,Capers,6-5,185, Sr,30,Demarquelle,Tabb,6-5,210, Sr,0,Justan,Banks,7-1,215, Sr
2014,Alabama A&M,0.026000000000000002,12,Green,Hill,5-10,175, Sr,22,Tyler,Davis,6-2,180, So,4,Justin,Colvin,6-3,190, So,30,Demarquelle,Tabb,6-5,210, Sr,55,Jerome,Hunter,6-8,230, Jr
2014,Alabama A&M,0.026000000000000002,10,Jeremy,Crutcher,5-8,160, Sr,40,Brandon,Ellis,6-3,200, Sr,11,Arther,Capers,6-5,185, Sr,35,Nicholas,West,6-10,190, So,55,Jerome,Hunter,6-8,230, Jr
2014,Alabama A&M,0.025,10,Jeremy,Crutcher,5-8,160, Sr,12,Green,Hill,5-10,175, Sr,4,Justin,Colvin,6-3,190, So,30,Demarquelle,Tabb,6-5,210, Sr,55,Jerome,Hunter,6-8,230, Jr
2014,Alabama A&M,0.083,NA,UNKNOWN,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
2014,Alabama St.,0.182,12,Jamel,Waters,5-9,160, So,30,Terrance,LeFlore,6-1,170, Fr,14,Tony,Armstrong,6-6,185, Fr,22,Maurice,Strong,6-5,210, Jr,4,Brandon,Graham,6-7,195, Jr
2014,Alabama St.,0.17600000000000002,12,Jamel,Waters,5-9,160, So,3,DeMarcus,Robinson,5-10,165, Jr,2,Luther,Page,6-6,190, So,22,Maurice,Strong,6-5,210, Jr,4,Brandon,Graham,6-7,195, Jr
2014,Alabama St.,0.078,12,Jamel,Waters,5-9,160, So,3,DeMarcus,Robinson,5-10,165, Jr,21,DeAngelo,Stewart,6-4,185, Fr,2,Luther,Page,6-6,190, So,4,Brandon,Graham,6-7,195, Jr
2014,Alabama St.,0.049,12,Jamel,Waters,5-9,160, So,30,Terrance,LeFlore,6-1,170, Fr,2,Luther,Page,6-6,190, So,22,Maurice,Strong,6-5,210, Jr,4,Brandon,Graham,6-7,195, Jr
2014,Alabama St.,0.04,12,Jamel,Waters,5-9,160, So,3,DeMarcus,Robinson,5-10,165, Jr,21,DeAngelo,Stewart,6-4,185, Fr,14,Tony,Armstrong,6-6,185, Fr,4,Brandon,Graham,6-7,195, Jr
2014,Alabama St.,0.03,3,DeMarcus,Robinson,5-10,165, Jr,30,Terrance,LeFlore,6-1,170, Fr,20,Billy,Ingram,6-6,185, Fr,2,Luther,Page,6-6,190, So,14,Tony,Armstrong,6-6,185, Fr
2014,Alabama St.,0.027999999999999997,12,Jamel,Waters,5-9,160, So,3,DeMarcus,Robinson,5-10,165, Jr,21,DeAngelo,Stewart,6-4,185, Fr,22,Maurice,Strong,6-5,210, Jr,4,Brandon,Graham,6-7,195, Jr
2014,Alabama St.,0.026000000000000002,12,Jamel,Waters,5-9,160, So,3,DeMarcus,Robinson,5-10,165, Jr,30,Terrance,LeFlore,6-1,170, Fr,22,Maurice,Strong,6-5,210, Jr,4,Brandon,Graham,6-7,195, Jr
2014,Alabama St.,0.024,12,Jamel,Waters,5-9,160, So,30,Terrance,LeFlore,6-1,170, Fr,5,Bobby,Brown,6-6,185, So,14,Tony,Armstrong,6-6,185, Fr,22,Maurice,Strong,6-5,210, Jr
2014,Alabama St.,0.024,12,Jamel,Waters,5-9,160, So,3,DeMarcus,Robinson,5-10,165, Jr,21,DeAngelo,Stewart,6-4,185, Fr,2,Luther,Page,6-6,190, So,14,Tony,Armstrong,6-6,185, Fr
2014,Alabama St.,0.142,NA,UNKNOWN,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
2014,Albany,0.406,3,DJ,Evans,5-9,175, Sr,12,Peter,Hooley,6-4,200, So,20,Gary,Johnson,6-6,205, Sr,14,Sam,Rowley,6-6,230, Jr,44,John,Puk,6-10,235, Sr
2014,Albany,0.17300000000000001,3,DJ,Evans,5-9,175, Sr,12,Peter,Hooley,6-4,200, So,20,Gary,Johnson,6-6,205, Sr,11,Luke,Devlin,6-8,235, Sr,44,John,Puk,6-10,235, Sr
2014,Albany,0.096,3,DJ,Evans,5-9,175, Sr,12,Peter,Hooley,6-4,200, So,20,Gary,Johnson,6-6,205, Sr,14,Sam,Rowley,6-6,230, Jr,11,Luke,Devlin,6-8,235, Sr
2014,Albany,0.052000000000000005,3,DJ,Evans,5-9,175, Sr,12,Peter,Hooley,6-4,200, So,24,Dallas,Ennema,6-6,210, Fr,11,Luke,Devlin,6-8,235, Sr,44,John,Puk,6-10,235, Sr
2014,Albany,0.037000000000000005,12,Peter,Hooley,6-4,200, So,20,Gary,Johnson,6-6,205, Sr,24,Dallas,Ennema,6-6,210, Fr,14,Sam,Rowley,6-6,230, Jr,44,John,Puk,6-10,235, Sr
2014,Albany,0.032,3,DJ,Evans,5-9,175, Sr,12,Peter,Hooley,6-4,200, So,24,Dallas,Ennema,6-6,210, Fr,14,Sam,Rowley,6-6,230, Jr,44,John,Puk,6-10,235, Sr
2014,Albany,0.031,3,DJ,Evans,5-9,175, Sr,20,Gary,Johnson,6-6,205, Sr,24,Dallas,Ennema,6-6,210, Fr,14,Sam,Rowley,6-6,230, Jr,44,John,Puk,6-10,235, Sr
2014,Albany,0.024,3,DJ,Evans,5-9,175, Sr,12,Peter,Hooley,6-4,200, So,24,Dallas,Ennema,6-6,210, Fr,14,Sam,Rowley,6-6,230, Jr,11,Luke,Devlin,6-8,235, Sr
2014,Albany,0.024,5,Anders,Haas,6-1,175, So,15,Ede,Egharevba,6-6,210, So,22,Dave,Wiegmann,6-8,215, Sr,10,Michael,Rowley,6-8,230, Fr,4,Levan,Shengelia,6-9,250, Jr
