Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Go-to Guys,0,Jaylen Franklin,6-2,195,Fr,26,21,71.4,97.3,30.8,29,50.5,54,2.8,21.2,21.2,18.3,0.5,3.1,3.8,7.5,64.1,120,193,0.622,140,274,0.511,8,27,0.296,NA,NA,25,112,NA,NA,NA,NA,36,NA,NA,114,NA,9,68,NA,NA,NA,National Rank,Abilene Christian,2016,30000
Significant Contributor,1,Jaren Lewis,6-6,210,Fr,27,9,53.2,108,21.4,23.8,53,56.6,5.8,13.4,13.4,14.4,2.7,2.5,3.7,4,34.2,47,63,0.746,72,142,0.507,17,42,0.405,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,458,345,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2016,30001
Significant Contributor,33,Duran Porter,6-8,240,Sr,27,26,50.9,105.5,20,20.1,58.4,60.3,7.2,7.5,7.5,19.2,4,1,5.9,4.2,45,44,67,0.657,87,149,0.584,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,177,NA,National Rank,Abilene Christian,2016,25006
Significant Contributor,4,Jovan Crnic,6-5,220,Jr,27,12,50.1,86.5,23.4,22.1,45.3,50.2,1.3,22.7,22.7,27.6,0.6,1.8,4.2,3.5,27.9,37,45,0.822,28,76,0.368,30,85,0.353,NA,NA,NA,NA,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2016,30003
Significant Contributor,23,Hayden Howell,6-7,225,Fr,27,2,28,93,23.6,19.1,48.7,54,13.1,4.2,4.2,24.9,4.1,0.8,6.4,5.4,66.7,35,52,0.673,38,78,0.487,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2016,30005
Role Player,12,Austin Cooke,6-7,235,Sr,27,17,46,111,16.5,18.8,52,57,6.3,6.1,6.1,13.2,0.4,1,4.8,3.2,32.5,35,41,0.854,16,39,0.41,33,87,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,407,National Rank,Abilene Christian,2016,18638
Role Player,22,Drake Green,6-3,180,So,25,1,22.1,65,16.7,20.2,26.1,29.4,5.5,3.9,3.9,15.8,2.2,1.7,6,2.3,15.4,7,10,0.7,11,36,0.306,4,29,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2016,25005
Role Player,15,Hayden Farguhar,6-7,230,Fr,26,NA,18.9,87.2,18.9,20.7,47.4,46.7,7,7.1,7.1,19.3,0.5,1.4,7,2.9,22.8,5,13,0.385,15,31,0.484,8,26,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2016,30004
Limited Role,3,Parker Wentz,5-9,170,Sr,27,25,73.9,108.1,12.7,16.2,56.3,58.8,0.8,5.4,5.4,14.1,0.1,2.3,2.9,2,17.7,26,31,0.839,16,43,0.372,55,132,0.417,NA,NA,NA,NA,189,229,NA,NA,NA,NA,NA,486,NA,NA,NA,NA,NA,126,National Rank,Abilene Christian,2016,18634
Limited Role,5,Jalen Little,5-11,170,Sr,23,21,60.8,103.1,15.6,13,47.4,53.5,1.3,29.4,29.4,24.5,0.3,2.3,3.9,2.8,39.1,37,45,0.822,23,55,0.418,21,60,0.35,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2016,27390
