id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,notes_type,notes_headline,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,home.score,home.winner,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,away.score,away.winner,game_id,season,season_type,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,PBP,team_box,player_box
401123374,s:40~l:41~e:401123374~c:401123374,2019-04-09T01:20Z,72062,TRUE,TRUE,FALSE,FALSE,2019-04-09T01:20Z,event,MEN'S BASKETBALL CHAMPIONSHIP - NATIONAL CHAMPIONSHIP,,,5239,U.S. Bank Stadium,Minneapolis,MN,0,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,258,s:40~l:41~t:258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Virginia,f84c1e,ffffff,TRUE,1927,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,2,85,TRUE,2641,s:40~l:41~t:2641,Texas Tech,Red Raiders,TTU,Texas Tech Red Raiders,Texas Tech,C80025,231f20,TRUE,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,77,FALSE,401123374,2019,3,OT,,,,,22,FALSE,FALSE,FALSE
401123376,s:40~l:41~e:401123376~c:401123376,2019-04-07T00:49Z,72711,TRUE,TRUE,FALSE,FALSE,2019-04-07T00:49Z,event,MEN'S BASKETBALL CHAMPIONSHIP - FINAL FOUR,1,STD,5239,U.S. Bank Stadium,Minneapolis,MN,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,51,FALSE,2641,s:40~l:41~t:2641,Texas Tech,Red Raiders,TTU,Texas Tech Red Raiders,Texas Tech,C80025,231f20,TRUE,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,61,TRUE,401123376,2019,3,,,,,,22,FALSE,FALSE,FALSE
401123375,s:40~l:41~e:401123375~c:401123375,2019-04-06T22:09Z,0,TRUE,TRUE,FALSE,FALSE,2019-04-06T22:09Z,event,MEN'S BASKETBALL CHAMPIONSHIP - FINAL FOUR,,,5239,U.S. Bank Stadium,Minneapolis,MN,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,258,s:40~l:41~t:258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Virginia,f84c1e,ffffff,TRUE,1927,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,2,63,TRUE,2,s:40~l:41~t:2,Auburn,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3,TRUE,1953,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,23,62,FALSE,401123375,2019,3,,,,,,22,FALSE,FALSE,FALSE
401125416,s:40~l:41~e:401125416~c:401125416,2019-04-05T23:00Z,1876,TRUE,FALSE,FALSE,FALSE,2019-04-05T23:00Z,event,ROMAN CBI CHAMPIONSHIP SERIES - GAME 3,11,RD128,1997,McGrath-Phillips Arena,Chicago,IL,3000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,305,s:40~l:41~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,TRUE,5427,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,65,FALSE,58,s:40~l:41~t:58,South Florida,Bulls,USF,South Florida Bulls,South Florida,004A36,231f20,TRUE,2041,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,62,77,TRUE,401125416,2019,3,,,,,,11,FALSE,FALSE,FALSE
401123695,s:40~l:41~e:401123695~c:401123695,2019-04-04T23:00Z,4051,TRUE,TRUE,FALSE,FALSE,2019-04-04T23:00Z,event,NIT - CHAMPIONSHIP,,,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0,TRUE,2195,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,81,TRUE,288,s:40~l:41~t:288,Lipscomb,Bisons,LIP,Lipscomb Bisons,Lipscomb,20366C,f6b734,TRUE,2038,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png,46,66,FALSE,401123695,2019,3,,,,,,21,TRUE,TRUE,TRUE
401125913,s:40~l:41~e:401125913~c:401125913,2019-04-04T23:00Z,5748,TRUE,FALSE,FALSE,FALSE,2019-04-04T23:00Z,event,CIT CHAMPIONSHIP GAME,35,Semifinal Bowl,1935,Cam Henderson Center,Huntington,WV,9048,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,276,s:40~l:41~t:276,Marshall,Thundering Herd,MRSH,Marshall Thundering Herd,Marshall,00ae42,be854c,TRUE,1935,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,11,90,TRUE,2739,s:40~l:41~t:2739,Green Bay,Phoenix,GB,Green Bay Phoenix,Green Bay,006633,ffffff,TRUE,522,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png,45,70,FALSE,401125913,2019,3,,,,,,35,FALSE,FALSE,FALSE
401125415,s:40~l:41~e:401125415~c:401125415,2019-04-04T00:00Z,1704,TRUE,FALSE,FALSE,FALSE,2019-04-04T00:00Z,event,ROMAN CBI CHAMPIONSHIP SERIES - GAME 2,1,STD,1997,McGrath-Phillips Arena,Chicago,IL,3000,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,305,s:40~l:41~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,TRUE,5427,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,100,TRUE,58,s:40~l:41~t:58,South Florida,Bulls,USF,South Florida Bulls,South Florida,004A36,231f20,TRUE,2041,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,62,96,FALSE,401125415,2019,3,OT,,,,,11,FALSE,FALSE,FALSE
401123694,s:40~l:41~e:401123694~c:401123694,2019-04-03T01:32Z,4599,TRUE,TRUE,FALSE,FALSE,2019-04-03T01:32Z,event,NIT - SEMIFINAL,1,STD,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2628,s:40~l:41~t:2628,TCU,Horned Frogs,TCU,TCU Horned Frogs,TCU,3C377D,f1f2f3,TRUE,2194,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,8,44,FALSE,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0,TRUE,2195,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,58,TRUE,401123694,2019,3,,,,,,21,TRUE,TRUE,TRUE
401125493,s:40~l:41~e:401125493~c:401125493,2019-04-03T01:00Z,2269,TRUE,FALSE,FALSE,FALSE,2019-04-03T01:00Z,event,CIT - SEMIFINAL,35,Semifinal Bowl,1946,Kress Events Center,Green Bay,WI,4018,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,2739,s:40~l:41~t:2739,Green Bay,Phoenix,GB,Green Bay Phoenix,Green Bay,006633,ffffff,TRUE,522,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png,45,87,TRUE,2640,s:40~l:41~t:2640,Texas Southern,Tigers,TXSO,Texas Southern Tigers,Texas Southern,6A0403,ebebeb,TRUE,2165,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,26,86,FALSE,401125493,2019,3,OT,,,,,35,FALSE,FALSE,FALSE
401123693,s:40~l:41~e:401123693~c:401123693,2019-04-02T23:00Z,0,TRUE,TRUE,FALSE,FALSE,2019-04-02T23:00Z,event,NIT - SEMIFINAL,,,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,288,s:40~l:41~t:288,Lipscomb,Bisons,LIP,Lipscomb Bisons,Lipscomb,20366C,f6b734,TRUE,2038,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png,46,71,TRUE,2724,s:40~l:41~t:2724,Wichita State,Shockers,WICH,Wichita State Shockers,Wichita State,0d0a03,ffc41e,TRUE,2086,https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png,62,64,FALSE,401123693,2019,3,,,,,,21,TRUE,TRUE,TRUE
