id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,notes_type,notes_headline,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,home.score,home.winner,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.logo,away.conferenceId,away.score,away.winner,game_id,season,season_type,away.venue.id,away.alternateColor,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
401371246,s:40~l:41~e:401371246~c:401371246,2021-11-10T02:00Z,6000,True,False,False,False,2021-11-10T02:00Z,,,0,N/A,1979,McCarthey Athletic Center,Spokane,WA,6000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2250,s:40~l:41~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,True,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,97,True,3101,s:40~l:41~t:3101,Dixie State,Trailblazers,DXST,Dixie State Trailblazers,Dixie State,000000,True,https://a.espncdn.com/i/teamlogos/ncaa/500/3101.png,30,63,False,401371246,2022,2,,,,,,,,
401373878,s:40~l:41~e:401373878~c:401373878,2021-11-10T04:00Z,5618,True,False,False,False,2021-11-10T04:00Z,,,0,N/A,479,Pauley Pavilion,Los Angeles,CA,13800,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,95,True,2934,s:40~l:41~t:2934,CSU Bakersfield,Roadrunners,CSUB,CSU Bakersfield Roadrunners,CSU Bakersfield,003BAB,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png,9,58,False,401373878,2022,2,2112,,,,,,,
401372138,s:40~l:41~e:401372138~c:401372138,2021-11-10T00:00Z,0,True,True,False,False,2021-11-10T00:00Z,event,State Farm Champions Classic,0,N/A,1830,Madison Square Garden,New York,NY,19812,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,True,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,74,False,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,87,True,401372138,2022,2,2171,e8000d,,,,,,
401372031,s:40~l:41~e:401372031~c:401372031,2021-11-09T21:30Z,6501,True,False,False,False,2021-11-09T21:30Z,,,0,N/A,1969,Finneran Pavilion,Villanova,PA,6501,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,222,s:40~l:41~t:222,Villanova,Wildcats,VILL,Villanova Wildcats,Villanova,123d7C,f0f0f0,True,1969,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,4,91,True,116,s:40~l:41~t:116,Mount St. Mary's,Mountaineers,MSM,Mount St. Mary's Mountaineers,Mount St Mary,005596,True,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png,19,51,False,401372031,2022,2,2175,ebebeb,,,,,,
401371567,s:40~l:41~e:401371567~c:401371567,2021-11-10T02:00Z,14683,True,False,False,False,2021-11-10T02:00Z,,,0,N/A,2195,Frank Erwin Center,Austin,TX,16540,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0,True,2195,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,92,True,2277,s:40~l:41~t:2277,Houston Baptist,Huskies,HBU,Houston Baptist Huskies,Houston Baptist,00539c,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,25,48,False,401371567,2022,2,2012,,,,,,,
401369133,s:40~l:41~e:401369133~c:401369133,2021-11-10T00:00Z,14804,True,False,False,False,2021-11-10T00:00Z,,,0,N/A,399,Mackey Arena,West Lafayette,IN,14804,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2509,s:40~l:41~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,B89D29,a4a9ad,True,399,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,7,96,True,91,s:40~l:41~t:91,Bellarmine,Knights,BELL,Bellarmine Knights,Bellarmine,000000,True,https://a.espncdn.com/i/teamlogos/ncaa/500/91.png,46,67,False,401369133,2022,2,,,,,,,,
401369850,s:40~l:41~e:401369850~c:401369850,2021-11-10T02:30Z,18132,True,True,False,False,2021-11-10T02:30Z,event,State Farm Champions Classic,0,N/A,1830,Madison Square Garden,New York,NY,19812,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,79,True,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,True,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,71,False,401369850,2022,2,251,ffffff,,,,,,
401372110,s:40~l:41~e:401372110~c:401372110,2021-11-10T01:00Z,14032,True,False,False,False,2021-11-10T01:00Z,,,0,N/A,2127,State Farm Center,Champaign,IL,15544,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,356,s:40~l:41~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,f77329,fa6300,True,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,71,True,2296,s:40~l:41~t:2296,Jackson State,Tigers,JKST,Jackson State Tigers,Jackson St,123297,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,26,47,False,401372110,2022,2,1945,b5b7ba,,,,,,
401371914,s:40~l:41~e:401371914~c:401371914,2021-11-10T01:00Z,12928,True,False,False,False,2021-11-10T01:00Z,,,0,N/A,1392,FedExForum,Memphis,TN,18400,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,235,s:40~l:41~t:235,Memphis,Tigers,MEM,Memphis Tigers,Memphis,003087,898d8d,True,1392,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,62,89,True,2635,s:40~l:41~t:2635,Tennessee Tech,Golden Eagles,TNTC,Tennessee Tech Golden Eagles,Tennessee Tech,5A4099,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2635.png,20,65,False,401371914,2022,2,2152,ffde00,,,,,,
401373388,s:40~l:41~e:401373388~c:401373388,2021-11-10T00:00Z,7037,True,False,False,False,2021-11-10T00:00Z,,,0,N/A,1977,Matthew Knight Arena,Eugene,OR,12364,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2483,s:40~l:41~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,fee123,True,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,83,True,2640,s:40~l:41~t:2640,Texas Southern,Tigers,TXSO,Texas Southern Tigers,Texas Southern,6A0403,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,26,66,False,401373388,2022,2,2165,ebebeb,,,,,,
