,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,season,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
0,293130153,s:40~l:41~e:293130153~c:293130153,2009-11-10T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES vs CANCER CLASSIC'}]",2009-11-10T00:00Z,0,N/A,207,Dean E. Smith Center,Chapel Hill,NC,21750.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b,True,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,2229,s:40~l:41~t:2229,Florida International,Panthers,FIU,Florida International Panthers,Florida Int'l,091731,c5960c,True,2216,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,27,2010,,,,,,
0,293130025,s:40~l:41~e:293130025~c:293130025,2009-11-10T04:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES vs CANCER CLASSIC'}]",2009-11-10T04:00Z,0,N/A,496,Haas Pavilion,Berkeley,CA,11877.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,25,s:40~l:41~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,True,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,93,s:40~l:41~t:93,Murray State,Racers,MUR,Murray State Racers,Murray State,002148,000e00,True,2022,https://a.espncdn.com/i/teamlogos/ncaa/500/93.png,20,2010,,,,,,
0,293130194,s:40~l:41~e:293130194~c:293130194,2009-11-10T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES vs CANCER CLASSIC'}]",2009-11-10T00:00Z,0,N/A,317,Value City Arena,Columbus,OH,19500.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,194,s:40~l:41~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,de3129,666666,True,317,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,2016,s:40~l:41~t:2016,Alcorn State,Braves,ALCN,Alcorn State Braves,Alcorn State,4b0058,46166a,True,2072,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,26,2010,,,,,,
0,293130183,s:40~l:41~e:293130183~c:293130183,2009-11-10T02:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES vs CANCER CLASSIC'}]",2009-11-10T02:00Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,True,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,399,s:40~l:41~t:399,Albany,Great Danes,ALB,Albany Great Danes,Albany,3D2777,ffffff,True,1976,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,1,2010,,,,,,
0,293150153,s:40~l:41~e:293150153~c:293150153,2009-11-12T02:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES vs CANCER CLASSIC'}]",2009-11-12T02:00Z,0,N/A,207,Dean E. Smith Center,Chapel Hill,NC,21750.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b,True,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,2428,s:40~l:41~t:2428,North Carolina Central,Eagles,NCCU,North Carolina Central Eagles,NC Central,880023,c2c3c0,True,2081,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,43,2010,,,,,,
0,293150025,s:40~l:41~e:293150025~c:293150025,2009-11-12T04:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2009-11-12T04:00Z,0,N/A,496,Haas Pavilion,Berkeley,CA,11877.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,25,s:40~l:41~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,True,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,2174,s:40~l:41~t:2174,Detroit Mercy,Titans,DET,Detroit Mercy Titans,Detroit Mercy,165b9e,d31733,True,2005,https://a.espncdn.com/i/teamlogos/ncaa/500/2174.png,45,2010,,,,,,
0,293150183,s:40~l:41~e:293150183~c:293150183,2009-11-12T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2009-11-12T00:00Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,True,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,2523,s:40~l:41~t:2523,Robert Morris,Colonials,RMU,Robert Morris Colonials,Robert Morris,00214D,a21d2b,True,5470,https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png,19,2010,,,,,,
0,293160194,s:40~l:41~e:293160194~c:293160194,2009-11-13T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES vs CANCER CLASSIC'}]",2009-11-13T00:00Z,0,N/A,317,Value City Arena,Columbus,OH,19500.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,194,s:40~l:41~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,de3129,666666,True,317,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,256,s:40~l:41~t:256,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778,True,7107,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,10,2010,,,,,,
0,293160152,s:40~l:41~e:293160152~c:293160152,2009-11-13T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'GLENN WILKES CLASSIC'}]",2009-11-13T00:00Z,0,N/A,999,PNC Arena,Raleigh,NC,22900.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,152,s:40~l:41~t:152,NC State,Wolfpack,NCST,NC State Wolfpack,NC State,EF1216,231f20,True,999,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,2,2247,s:40~l:41~t:2247,Georgia State,Panthers,GAST,Georgia State Panthers,Georgia State,1e539a,ebebeb,True,2057,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,10,2010,,,,,,
0,293172305,s:40~l:41~e:293172305~c:293172305,2009-11-14T01:00Z,0,True,False,False,False,[],2009-11-14T01:00Z,0,N/A,2171,Allen Fieldhouse,Lawrence,KS,16300.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,e8000d,True,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,2275,s:40~l:41~t:2275,Hofstra,Pride,HOF,Hofstra Pride,Hofstra,00337c,f6c934,True,2058,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,10,2010,,,,,,
