"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","status.type.altDetail","season","groups.id","groups.name","groups.shortName","groups.isConference","tournamentId","game_id","PBP","team_box"
400873390,"s:40~l:41~e:400873390~c:400873390","2016-03-31T23:00Z",7016,"True","True","False","False","[{'type': 'event', 'headline': 'NIT - CHAMPIONSHIP'}]","2016-03-31T23:00Z",NA,"",1830,"Madison Square Garden","New York","NY",19812,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2674,"s:40~l:41~t:2674","Valparaiso","","VALP","Valparaiso","Valparaiso","794500","","True",2159,"https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png",45,45,"s:40~l:41~t:45","George Washington","Colonials","GW","George Washington Colonials","G Washington","002843","e8d2a1","True",2125,"https://a.espncdn.com/i/teamlogos/ncaa/500/45.png",3,"",2016,NA,"","","",21,400873390,TRUE,TRUE
400872964,"s:40~l:41~e:400872964~c:400872964","2016-03-30T01:32Z",8298,"True","True","False","False","[{'type': 'event', 'headline': 'NIT - SEMIFINAL'}]","2016-03-30T01:32Z",NA,"",1830,"Madison Square Garden","New York","NY",19812,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",21,"s:40~l:41~t:21","San Diego State","Aztecs","SDSU","San Diego State Aztecs","San Diego State","BF2C37","a8996e","True",2111,"https://a.espncdn.com/i/teamlogos/ncaa/500/21.png",44,45,"s:40~l:41~t:45","George Washington","Colonials","GW","George Washington Colonials","G Washington","002843","e8d2a1","True",2125,"https://a.espncdn.com/i/teamlogos/ncaa/500/45.png",3,"",2016,NA,"","","",21,400872964,TRUE,TRUE
400872952,"s:40~l:41~e:400872952~c:400872952","2016-03-29T23:00Z",0,"True","True","False","False","[{'type': 'event', 'headline': 'NIT - SEMIFINAL'}]","2016-03-29T23:00Z",NA,"",1830,"Madison Square Garden","New York","NY",19812,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2674,"s:40~l:41~t:2674","Valparaiso","","VALP","Valparaiso","Valparaiso","794500","","True",2159,"https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png",45,252,"s:40~l:41~t:252","BYU","Cougars","BYU","BYU Cougars","BYU","001E4C","ffffff","True",2108,"https://a.espncdn.com/i/teamlogos/ncaa/500/252.png",29,"",2016,NA,"","","",21,400872952,TRUE,TRUE
400872599,"s:40~l:41~e:400872599~c:400872599","2016-03-24T01:00Z",12414,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]","2016-03-24T01:00Z",NA,"",2111,"Viejas Arena","San Diego","CA",12414,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",21,"s:40~l:41~t:21","San Diego State","Aztecs","SDSU","San Diego State Aztecs","San Diego State","BF2C37","a8996e","True",2111,"https://a.espncdn.com/i/teamlogos/ncaa/500/21.png",44,59,"s:40~l:41~t:59","Georgia Tech","Yellow Jackets","GT","Georgia Tech Yellow Jackets","Georgia Tech","00223e","002c56","True",2206,"https://a.espncdn.com/i/teamlogos/ncaa/500/59.png",2,"",2016,NA,"","","",21,400872599,TRUE,TRUE
400872576,"s:40~l:41~e:400872576~c:400872576","2016-03-23T23:00Z",3399,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]","2016-03-23T23:00Z",NA,"",360,"Exactech Arena at Stephen C. O'Connell Center","Gainesville","FL",10151,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",45,"s:40~l:41~t:45","George Washington","Colonials","GW","George Washington Colonials","G Washington","002843","e8d2a1","True",2125,"https://a.espncdn.com/i/teamlogos/ncaa/500/45.png",3,57,"s:40~l:41~t:57","Florida","Gators","FLA","Florida Gators","Florida","0021A5","0021a5","True",360,"https://a.espncdn.com/i/teamlogos/ncaa/500/57.png",23,"",2016,NA,"","","",21,400872576,TRUE,TRUE
400872290,"s:40~l:41~e:400872290~c:400872290","2016-03-23T01:00Z",15525,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]","2016-03-23T01:00Z",NA,"",2108,"Marriott Center","Provo","UT",18987,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",252,"s:40~l:41~t:252","BYU","Cougars","BYU","BYU Cougars","BYU","001E4C","ffffff","True",2108,"https://a.espncdn.com/i/teamlogos/ncaa/500/252.png",29,156,"s:40~l:41~t:156","Creighton","Bluejays","CREI","Creighton Bluejays","Creighton","13299e","00235d","True",353,"https://a.espncdn.com/i/teamlogos/ncaa/500/156.png",4,"",2016,NA,"","","",21,400872290,TRUE,TRUE
400872393,"s:40~l:41~e:400872393~c:400872393","2016-03-22T23:00Z",5444,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]","2016-03-22T23:00Z",NA,"",2159,"Athletics-Recreation Center","Valparaiso","IN",5100,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2674,"s:40~l:41~t:2674","Valparaiso","","VALP","Valparaiso","Valparaiso","794500","","True",2159,"https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png",45,2608,"s:40~l:41~t:2608","Saint Mary's","Gaels","SMC","Saint Mary's Gaels","Saint Mary's","003768","d02f35","True",488,"https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png",29,"",2016,NA,"","","",21,400872393,TRUE,TRUE
400871675,"s:40~l:41~e:400871675~c:400871675","2016-03-22T03:30Z",12414,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]","2016-03-22T03:30Z",NA,"",2111,"Viejas Arena","San Diego","CA",12414,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",21,"s:40~l:41~t:21","San Diego State","Aztecs","SDSU","San Diego State Aztecs","San Diego State","BF2C37","a8996e","True",2111,"https://a.espncdn.com/i/teamlogos/ncaa/500/21.png",44,264,"s:40~l:41~t:264","Washington","Huskies","WASH","Washington Huskies","Washington","2B2F64","e8e3d3","True",782,"https://a.espncdn.com/i/teamlogos/ncaa/500/264.png",21,"",2016,NA,"","","",21,400871675,TRUE,TRUE
400872093,"s:40~l:41~e:400872093~c:400872093","2016-03-22T01:00Z",2856,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]","2016-03-22T01:00Z",NA,"",1962,"Colonial Life Arena","Columbia","SC",18000,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2579,"s:40~l:41~t:2579","South Carolina","Gamecocks","SC","South Carolina Gamecocks","South Carolina","670010","000000","True",1962,"https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png",23,59,"s:40~l:41~t:59","Georgia Tech","Yellow Jackets","GT","Georgia Tech Yellow Jackets","Georgia Tech","00223e","002c56","True",2206,"https://a.espncdn.com/i/teamlogos/ncaa/500/59.png",2,"",2016,NA,"","","",21,400872093,TRUE,TRUE
400872094,"s:40~l:41~e:400872094~c:400872094","2016-03-21T23:00Z",3442,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]","2016-03-21T23:00Z",NA,"",2163,"OceanFirst Bank Center","West Long Branch","NJ",4100,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2405,"s:40~l:41~t:2405","Monmouth","Hawks","MONM","Monmouth Hawks","Monmouth","051844","","True",2163,"https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png",13,45,"s:40~l:41~t:45","George Washington","Colonials","GW","George Washington Colonials","G Washington","002843","e8d2a1","True",2125,"https://a.espncdn.com/i/teamlogos/ncaa/500/45.png",3,"",2016,NA,"","","",21,400872094,TRUE,TRUE
