"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","season","status.type.altDetail","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","game_id","PBP"
400796850,"s:40~l:46~e:400796850~c:400796850","2015-06-17T01:00Z",20562,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 6'}]","2015-06-17T01:00Z",17,"FINAL",3417,"Rocket Mortgage FieldHouse","Cleveland","OH",19432,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",2015,"","playoff","Playoff Series","GS Wins series 4-2","True",7,"[{'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/5?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:46~t:9', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/9?lang=en&region=us'}]",400796850,TRUE
400796849,"s:40~l:46~e:400796849~c:400796849","2015-06-15T00:00Z",19596,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 5'}]","2015-06-15T00:00Z",17,"FINAL",2465,"ORACLE Arena","Oakland","CA",19596,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",2015,"","playoff","Playoff Series","GS leads series 3-2","False",7,"[{'id': '9', 'uid': 's:40~l:46~t:9', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/9?lang=en&region=us'}, {'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/5?lang=en&region=us'}]",400796849,TRUE
400796848,"s:40~l:46~e:400796848~c:400796848","2015-06-12T01:00Z",20562,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 4'}]","2015-06-12T01:00Z",17,"FINAL",3417,"Rocket Mortgage FieldHouse","Cleveland","OH",19432,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",2015,"","playoff","Playoff Series","Series tied 2-2","False",7,"[{'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/5?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:46~t:9', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/9?lang=en&region=us'}]",400796848,TRUE
400796847,"s:40~l:46~e:400796847~c:400796847","2015-06-10T01:00Z",20562,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 3'}]","2015-06-10T01:00Z",17,"FINAL",3417,"Rocket Mortgage FieldHouse","Cleveland","OH",19432,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",2015,"","playoff","Playoff Series","CLE leads series 2-1","False",7,"[{'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/5?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:46~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/9?lang=en&region=us'}]",400796847,TRUE
400796846,"s:40~l:46~e:400796846~c:400796846","2015-06-08T00:00Z",19596,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 2'}]","2015-06-08T00:00Z",17,"FINAL",2465,"ORACLE Arena","Oakland","CA",19596,"False",0,"0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",2015,"OT","playoff","Playoff Series","Series tied 1-1","False",7,"[{'id': '9', 'uid': 's:40~l:46~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/9?lang=en&region=us'}, {'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/5?lang=en&region=us'}]",400796846,TRUE
400796845,"s:40~l:46~e:400796845~c:400796845","2015-06-05T01:00Z",19596,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 1'}]","2015-06-05T01:00Z",17,"FINAL",2465,"ORACLE Arena","Oakland","CA",19596,"False",0,"0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",2015,"OT","playoff","Playoff Series","GS leads series 1-0","False",7,"[{'id': '9', 'uid': 's:40~l:46~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/9?lang=en&region=us'}, {'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/5?lang=en&region=us'}]",400796845,TRUE
400796359,"s:40~l:46~e:400796359~c:400796359","2015-05-28T01:00Z",19596,"True","False","False","False","[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 5'}]","2015-05-28T01:00Z",16,"SEMI",2465,"ORACLE Arena","Oakland","CA",19596,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",10,"s:40~l:46~t:10","Houston","Rockets","HOU","Houston Rockets","Rockets","D40026","c4ced3","True",1394,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png",2015,"","playoff","Playoff Series","GS Wins series 4-1","True",7,"[{'id': '9', 'uid': 's:40~l:46~t:9', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/9?lang=en&region=us'}, {'id': '10', 'uid': 's:40~l:46~t:10', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/10?lang=en&region=us'}]",400796359,TRUE
400796269,"s:40~l:46~e:400796269~c:400796269","2015-05-27T00:30Z",20562,"True","False","False","False","[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 4'}]","2015-05-27T00:30Z",16,"SEMI",3417,"Rocket Mortgage FieldHouse","Cleveland","OH",19432,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",1,"s:40~l:46~t:1","Atlanta","Hawks","ATL","Atlanta Hawks","Hawks","002B5C","002b5c","True",1827,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png",2015,"","playoff","Playoff Series","CLE Wins series 4-0","True",7,"[{'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/5?lang=en&region=us'}, {'id': '1', 'uid': 's:40~l:46~t:1', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/1?lang=en&region=us'}]",400796269,TRUE
400796358,"s:40~l:46~e:400796358~c:400796358","2015-05-26T01:00Z",18239,"True","False","False","False","[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 4'}]","2015-05-26T01:00Z",16,"SEMI",1394,"Toyota Center (Houston)","Houston","TX",18055,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",10,"s:40~l:46~t:10","Houston","Rockets","HOU","Houston Rockets","Rockets","D40026","c4ced3","True",1394,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",2015,"","playoff","Playoff Series","GS leads series 3-1","False",7,"[{'id': '10', 'uid': 's:40~l:46~t:10', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/10?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:46~t:9', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/9?lang=en&region=us'}]",400796358,TRUE
400796268,"s:40~l:46~e:400796268~c:400796268","2015-05-25T00:30Z",20562,"True","False","False","False","[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 3'}]","2015-05-25T00:30Z",16,"SEMI",3417,"Rocket Mortgage FieldHouse","Cleveland","OH",19432,"False",0,"0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",1,"s:40~l:46~t:1","Atlanta","Hawks","ATL","Atlanta Hawks","Hawks","002B5C","002b5c","True",1827,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png",2015,"OT","playoff","Playoff Series","CLE leads series 3-0","False",7,"[{'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/5?lang=en&region=us'}, {'id': '1', 'uid': 's:40~l:46~t:1', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2015/teams/1?lang=en&region=us'}]",400796268,TRUE
